Region,Year,Yield,Production,Area
Mount Benson,2006,10.9,31424,2858
Mount Benson,2007,4.8,14807,3059
Mount Benson,2008,7.9,24910,3138
Mount Benson,2009,7,23186,3274
Mount Benson,2010,6.2,20158,3208
Mount Benson,2011,4.2,13611,3310
Mount Benson,2012,4.6,15681,3332
Mount Benson,2013,5.6,18560,3271
Mount Benson,2014,3.8,12728,3318
Mount Benson,2015,4.2,14325,3323
Mount Benson,2016,6.2,20668,3328
Mount Benson,2017,6.7,22157,3312
Mount Benson,2018,5,16480,3345
Mount Benson,2019,6.5,21162,3287
Mount Benson,2020,3.3,11394,3236
Mount Benson,2021,7.6,25877,3253
Mount Benson,2022,3.9,12336,3273
Mount Benson,2023,3.6,11397,3101
Macedon Ranges,2001,0,0,0
Macedon Ranges,2002,0,0,0
Macedon Ranges,2003,2.7,324,119
Macedon Ranges,2004,4.6,768,164
Macedon Ranges,2005,4.2,657,153
Macedon Ranges,2006,3.1,529,170
Macedon Ranges,2007,3,614,202
Macedon Ranges,2008,4.6,700,149
Macedon Ranges,2009,0,0,184
Macedon Ranges,2010,2.2,513,224
Macedon Ranges,2011,0,0,236
Macedon Ranges,2012,2.3,585,248
Macedon Ranges,2013,0,0,207
Macedon Ranges,2014,1,104,172
Macedon Ranges,2015,3.9,556,140
Macedon Ranges,2016,0.8,99,140
Macedon Ranges,2017,2.6,288,140
Macedon Ranges,2018,1,140,140
Macedon Ranges,2019,0.8,117,140
Macedon Ranges,2020,0.3,44,140
Macedon Ranges,2021,0.4,68,140
Macedon Ranges,2022,1.4,197,140
Macedon Ranges,2023,2.6,393,140
Manjimup,2001,0,0,0
Manjimup,2002,0,0,0
Manjimup,2003,0,0,0
Manjimup,2004,0,0,0
Manjimup,2005,0,0,0
Manjimup,2006,0,0,0
Manjimup,2007,5.9,1066,178
Manjimup,2008,6.1,1766,287
Manjimup,2009,10.1,1787,229
Manjimup,2010,4.5,799,179
Manjimup,2011,6.6,576,130
Manjimup,2012,7.4,634,85
Manjimup,2013,0,0,73
Manjimup,2014,0,0,64
Manjimup,2015,4.6,237,54
Manjimup,2016,4.9,399,81
Manjimup,2017,2.4,102,108
Manjimup,2018,1.5,204,134
Manjimup,2019,1.7,257,161
Manjimup,2020,0.3,15,161
Manjimup,2021,1.2,83,161
Manjimup,2022,0.8,114,161
Manjimup,2023,0.5,42,161
Margaret River,2001,7.1,24316,3400
Margaret River,2002,6.9,25751,3728
Margaret River,2003,6.3,26177,4094
Margaret River,2004,8.2,35101,4254
Margaret River,2005,7.7,37639,4825
Margaret River,2006,5.8,28637,4908
Margaret River,2007,6.3,33694,5338
Margaret River,2008,6.8,36518,5356
Margaret River,2009,2.5,12550,5116
Margaret River,2010,6.4,31369,4893
Margaret River,2011,3.2,15214,4900
Margaret River,2012,7.2,35813,4931
Margaret River,2013,2.5,11933,4880
Margaret River,2014,4.5,21248,4842
Margaret River,2015,5.4,26131,4816
Margaret River,2016,3.6,18222,4997
Margaret River,2017,3.9,20591,5178
Margaret River,2018,3.8,20433,5359
Margaret River,2019,3.6,20330,5591
Margaret River,2020,3.8,21311,5591
Margaret River,2021,4.4,24565,5591
Margaret River,2022,4.7,26648,5591
Margaret River,2023,5.2,29231,5591
McLaren Vale,2001,13.9,55875,3986
McLaren Vale,2002,10.5,49129,4635
McLaren Vale,2003,7.6,43451,5654
McLaren Vale,2004,11.8,71516,6022
McLaren Vale,2005,10.2,65126,6334
McLaren Vale,2006,9.7,63259,6570
McLaren Vale,2007,5.1,35292,6869
McLaren Vale,2008,7.6,54601,7167
McLaren Vale,2009,4.7,33484,7102
McLaren Vale,2010,5.9,42677,7101
McLaren Vale,2011,6.4,45518,7083
McLaren Vale,2012,4.3,31752,7322
McLaren Vale,2013,4.8,35228,7273
McLaren Vale,2014,4.6,33093,7199
McLaren Vale,2015,3.9,28434,7199
McLaren Vale,2016,5.7,40996,7088
McLaren Vale,2017,6.2,44389,7054
McLaren Vale,2018,4.9,35651,7155
McLaren Vale,2019,4.5,33037,7139
McLaren Vale,2020,4,28751,7105
McLaren Vale,2021,5.1,36658,7185
McLaren Vale,2022,4.9,34989,7160
McLaren Vale,2023,3.6,26467,7189
Mornington Peninsula,2001,6.6,2689,402
Mornington Peninsula,2002,2.3,1000,432
Mornington Peninsula,2003,3.4,1638,470
Mornington Peninsula,2004,6.9,4916,710
Mornington Peninsula,2005,5.5,3110,559
Mornington Peninsula,2006,5.1,3400,659
Mornington Peninsula,2007,4,2490,620
Mornington Peninsula,2008,6.9,4599,658
Mornington Peninsula,2009,3.2,2070,695
Mornington Peninsula,2010,5,3801,751
Mornington Peninsula,2011,3.4,2431,787
Mornington Peninsula,2012,3.9,3278,824
Mornington Peninsula,2013,2.6,1983,801
Mornington Peninsula,2014,0.8,620,788
Mornington Peninsula,2015,4.1,3257,777
Mornington Peninsula,2016,4.5,3656,808
Mornington Peninsula,2017,2.3,1992,839
Mornington Peninsula,2018,4,3511,869
Mornington Peninsula,2019,4.2,3819,901
Mornington Peninsula,2020,1.9,1703,901
Mornington Peninsula,2021,2.3,2115,901
Mornington Peninsula,2022,1.2,1123,901
Mornington Peninsula,2023,1.8,1665,901
Mudgee,2001,7.3,15785,2151
Mudgee,2002,6.8,18918,2754
Mudgee,2003,7.1,19275,2709
Mudgee,2004,7.5,22768,3022
Mudgee,2005,8.1,26508,3250
Mudgee,2006,7.9,26407,3335
Mudgee,2007,5.2,16779,3231
Mudgee,2008,7,23617,3330
Mudgee,2009,10.6,34245,3370
Mudgee,2010,2.7,9358,3414
Mudgee,2011,1.3,3180,2745
Mudgee,2012,3,6292,2082
Mudgee,2013,5,4511,1726
Mudgee,2014,0.2,125,1400
Mudgee,2015,4.4,4771,1081
Mudgee,2016,1.4,1763,1288
Mudgee,2017,0.9,1318,1494
Mudgee,2018,1.1,1909,1701
Mudgee,2019,1,2045,1908
Mudgee,2020,0.9,1750,1908
Mudgee,2021,0.6,1283,1908
Mudgee,2022,0.6,1344,1908
Mudgee,2023,0.8,1622,1908
Murray Darling,2001,12.5,76941,6119
Murray Darling,2002,15.1,107429,7090
Murray Darling,2003,12.8,91926,7163
Murray Darling,2004,14.6,108799,7427
Murray Darling,2005,18.3,135241,7376
Murray Darling,2006,16.4,125043,7617
Murray Darling,2007,14.3,113998,7969
Murray Darling,2008,16.3,140498,8600
Murray Darling,2009,23.8,171066,7716
Murray Darling,2010,19.5,133482,6841
Murray Darling,2011,22,151931,7028
Murray Darling,2012,23.6,171556,7261
Murray Darling,2013,30.2,220513,7185
Murray Darling,2014,28.2,211277,7384
Murray Darling,2015,21.9,171779,7859
Murray Darling,2016,22,167144,7625
Murray Darling,2017,23.2,169640,7391
Murray Darling,2018,22.5,158735,7157
Murray Darling,2019,24.9,172921,6991
Murray Darling,2020,23,157009,6991
Murray Darling,2021,26.2,178087,6991
Murray Darling,2022,19.4,127356,6991
Murray Darling,2023,14.2,96863,6991
Swan Hill,2001,11.2,253940,22564
Swan Hill,2002,11.9,282733,23616
Swan Hill,2003,9.8,224322,22799
Swan Hill,2004,12.8,289742,22611
Swan Hill,2005,13.5,306755,22672
Swan Hill,2006,11.6,275391,23706
Swan Hill,2007,10.9,256539,23430
Swan Hill,2008,12.7,286546,22512
Swan Hill,2009,13.7,209081,17363
Swan Hill,2010,16.3,202013,12329
Swan Hill,2011,16.2,185694,11840
Swan Hill,2012,18.2,211017,11535
Swan Hill,2013,25.4,270338,10464
Swan Hill,2014,25.9,259093,9877
Swan Hill,2015,21.9,209952,9605
Swan Hill,2016,21.7,202471,9371
Swan Hill,2017,21.9,198835,9136
Swan Hill,2018,22.1,196085,8902
Swan Hill,2019,20.8,178179,8721
Swan Hill,2020,22.5,193580,8721
Swan Hill,2021,26,223653,8721
Swan Hill,2022,23.9,199525,8721
Swan Hill,2023,12.4,108197,8721
King Valley,2001,10.2,12676,1253
King Valley,2002,8.3,9160,1096
King Valley,2003,6.8,9167,1340
King Valley,2004,12.2,12980,1057
King Valley,2005,12,11781,983
King Valley,2006,8.7,8978,1024
King Valley,2007,5.3,5507,1025
King Valley,2008,11.9,11126,928
King Valley,2009,10.1,10812,1135
King Valley,2010,9.2,12808,1393
King Valley,2011,2.9,3323,1467
King Valley,2012,7.9,12408,1552
King Valley,2013,3.9,5350,1413
King Valley,2014,7.1,9571,1348
King Valley,2015,10.3,15072,1420
King Valley,2016,9,12492,1420
King Valley,2017,11.5,16052,1420
King Valley,2018,9.2,12924,1420
King Valley,2019,11.2,15671,1420
King Valley,2020,9,10852,1420
King Valley,2021,14.5,20332,1420
King Valley,2022,14.1,19228,1420
King Valley,2023,11.2,15255,1420
New England Australia,2001,2.9,35,12
New England Australia,2002,0,0,0
New England Australia,2003,3.1,59,19
New England Australia,2004,4.9,139,28
New England Australia,2005,4,121,29
New England Australia,2006,3,84,27
New England Australia,2007,3.1,85,27
New England Australia,2008,3.7,87,24
New England Australia,2009,0,0,31
New England Australia,2010,1.2,49,40
New England Australia,2011,0,0,34
New England Australia,2012,1.7,39,29
New England Australia,2013,0,0,7
New England Australia,2014,0,0,5
New England Australia,2015,2.4,17,7
New England Australia,2016,0,0,7
New England Australia,2017,0,0,7
New England Australia,2018,0,10,7
New England Australia,2019,2.2,9,7
New England Australia,2020,0,7,7
New England Australia,2021,0,0,7
New England Australia,2022,0,0,7
New England Australia,2023,0,0,7
Southern Flinders Ranges,2001,6,1041,173
Southern Flinders Ranges,2002,5.1,1385,268
Southern Flinders Ranges,2003,3.7,984,267
Southern Flinders Ranges,2004,5.2,1564,303
Southern Flinders Ranges,2005,6,1804,299
Southern Flinders Ranges,2006,4.6,1187,261
Southern Flinders Ranges,2007,3.6,1082,313
Southern Flinders Ranges,2008,10.1,1398,132
Southern Flinders Ranges,2009,8.5,449,128
Southern Flinders Ranges,2010,7.5,1129,145
Southern Flinders Ranges,2011,0,0,87
Southern Flinders Ranges,2012,3.6,286,45
Southern Flinders Ranges,2013,0,0,76
Southern Flinders Ranges,2014,0,0,106
Southern Flinders Ranges,2015,1.2,221,183
Southern Flinders Ranges,2016,0.6,121,178
Southern Flinders Ranges,2017,0.5,31,172
Southern Flinders Ranges,2018,0.5,10,167
Southern Flinders Ranges,2019,0.2,32,162
Southern Flinders Ranges,2020,0.3,17,162
Southern Flinders Ranges,2021,0,0,162
Southern Flinders Ranges,2022,0,0,162
Southern Flinders Ranges,2023,0.3,49,162
Orange,2001,8.9,8921,994
Orange,2002,6.4,9995,1545
Orange,2003,7.3,11786,1613
Orange,2004,8,14025,1738
Orange,2005,7.1,5448,762
Orange,2006,7,9960,1417
Orange,2007,4.3,6269,1455
Orange,2008,9.4,14061,1494
Orange,2009,5.1,7451,1512
Orange,2010,3.6,5563,1545
Orange,2011,3.3,5040,1614
Orange,2012,5.4,9175,1693
Orange,2013,2.1,3074,1475
Orange,2014,1.3,1609,1284
Orange,2015,6.6,7389,1101
Orange,2016,5.1,5586,1086
Orange,2017,5.6,6055,1071
Orange,2018,3.2,3436,1056
Orange,2019,4.3,4566,1061
Orange,2020,1.3,1456,1061
Orange,2021,2.8,3093,1061
Orange,2022,3.6,3942,1061
Orange,2023,3.6,3916,1061
Padthaway,2001,12.7,36118,2808
Padthaway,2002,7.1,21002,2955
Padthaway,2003,8.7,27582,3145
Padthaway,2004,15.8,51130,3218
Padthaway,2005,10,33660,3361
Padthaway,2006,12.7,45189,3507
Padthaway,2007,6.2,23787,3802
Padthaway,2008,11.7,47089,4006
Padthaway,2009,10.1,40554,4000
Padthaway,2010,9.3,37257,3999
Padthaway,2011,6.7,26586,3961
Padthaway,2012,7.6,30411,4007
Padthaway,2013,7.6,30242,3943
Padthaway,2014,7,27655,3940
Padthaway,2015,6.4,25352,3928
Padthaway,2016,11.6,44921,3882
Padthaway,2017,10.9,41142,3780
Padthaway,2018,5.4,21278,3825
Padthaway,2019,9.7,37215,3749
Padthaway,2020,4.4,16429,3691
Padthaway,2021,11.5,43802,3730
Padthaway,2022,7.9,28805,3608
Padthaway,2023,7,26706,3742
Peel,2001,0,0,0
Peel,2002,0,0,0
Peel,2003,3.6,78,28
Peel,2004,6.2,274,43
Peel,2005,1.9,63,33
Peel,2006,2,67,33
Peel,2007,1.8,53,34
Peel,2008,2.5,73,34
Peel,2009,0,0,59
Peel,2010,3.2,316,96
Peel,2011,0,0,97
Peel,2012,2.6,256,101
Peel,2013,0,0,72
Peel,2014,0,0,53
Peel,2015,1,33,35
Peel,2016,0,0,41
Peel,2017,0.4,18,46
Peel,2018,0,0,52
Peel,2019,0.2,13,63
Peel,2020,0.2,11,63
Peel,2021,0.3,17,63
Peel,2022,0,0,63
Peel,2023,0,0,63
Pemberton,2001,0,0,0
Pemberton,2002,0,0,0
Pemberton,2003,0,0,0
Pemberton,2004,0,0,0
Pemberton,2005,0,0,0
Pemberton,2006,0,0,0
Pemberton,2007,5.8,4460,765
Pemberton,2008,6.3,4623,726
Pemberton,2009,4.3,2669,671
Pemberton,2010,6.3,3942,622
Pemberton,2011,3.7,1230,505
Pemberton,2012,5.9,2329,389
Pemberton,2013,8.2,2023,368
Pemberton,2014,14.7,4207,348
Pemberton,2015,5.9,1970,333
Pemberton,2016,6.7,2476,367
Pemberton,2017,2.7,1045,401
Pemberton,2018,4.9,2011,435
Pemberton,2019,3.7,1699,469
Pemberton,2020,2.7,1285,469
Pemberton,2021,3.4,1657,469
Pemberton,2022,3.4,1630,469
Pemberton,2023,3.4,1633,469
Perricoota,2001,13.5,2074,153
Perricoota,2002,7,1013,144
Perricoota,2003,9.4,1958,207
Perricoota,2004,10.4,1923,184
Perricoota,2005,13.3,2189,164
Perricoota,2006,10.4,1611,154
Perricoota,2007,5.4,880,163
Perricoota,2008,12.5,5492,436
Perricoota,2009,2.4,1226,542
Perricoota,2010,9.3,6213,670
Perricoota,2011,3.1,1624,574
Perricoota,2012,9.5,4648,493
Perricoota,2013,3.1,1303,444
Perricoota,2014,1.6,609,405
Perricoota,2015,15.8,5822,366
Perricoota,2016,1.1,247,389
Perricoota,2017,1,333,412
Perricoota,2018,1.2,317,436
Perricoota,2019,0.3,161,459
Perricoota,2020,0.5,222,459
Perricoota,2021,0.8,343,459
Perricoota,2022,8.2,3719,459
Perricoota,2023,3.4,1350,459
Perth Hills,2001,7.8,2467,315
Perth Hills,2002,4.2,1193,281
Perth Hills,2003,4.3,964,238
Perth Hills,2004,5.9,1719,291
Perth Hills,2005,6,1934,317
Perth Hills,2006,5.3,1773,329
Perth Hills,2007,4.9,1469,297
Perth Hills,2008,5.9,2010,340
Perth Hills,2009,0,0,313
Perth Hills,2010,4.5,1333,294
Perth Hills,2011,0,0,265
Perth Hills,2012,5.9,1383,243
Perth Hills,2013,0,0,198
Perth Hills,2014,3.3,105,154
Perth Hills,2015,2.6,306,115
Perth Hills,2016,0.6,48,124
Perth Hills,2017,0.4,32,134
Perth Hills,2018,0.4,38,144
Perth Hills,2019,0.3,31,156
Perth Hills,2020,1.2,148,156
Perth Hills,2021,0.4,40,156
Perth Hills,2022,1.4,223,156
Perth Hills,2023,0.6,94,156
Port Phillip - other,2001,5.2,676,129
Port Phillip - other,2002,5.5,1412,256
Port Phillip - other,2003,5.3,676,125
Port Phillip - other,2004,5.2,216,41
Port Phillip - other,2005,4.7,209,44
Port Phillip - other,2006,4,150,37
Port Phillip - other,2007,2.3,89,38
Port Phillip - other,2008,5.9,228,38
Port Phillip - other,2009,1.8,36,50
Port Phillip - other,2010,3.2,214,67
Port Phillip - other,2011,0,0,93
Port Phillip - other,2012,3.3,407,123
Port Phillip - other,2013,0,0,250
Port Phillip - other,2014,0,0,379
Port Phillip - other,2015,6.5,3397,520
Port Phillip - other,2016,0.1,5,520
Port Phillip - other,2017,0.1,7,520
Port Phillip - other,2018,0.1,8,520
Port Phillip - other,2019,0.7,56,520
Port Phillip - other,2020,0,24,520
Port Phillip - other,2021,0,0,520
Port Phillip - other,2022,0.1,36,520
Port Phillip - other,2023,0,0,520
Pyrenees,2001,6,2580,428
Pyrenees,2002,3.2,1574,490
Pyrenees,2003,1.7,1228,700
Pyrenees,2004,3.9,2726,692
Pyrenees,2005,4.7,3300,702
Pyrenees,2006,2.9,2221,759
Pyrenees,2007,1.3,953,694
Pyrenees,2008,3.1,2375,754
Pyrenees,2009,0.3,109,811
Pyrenees,2010,5,4423,873
Pyrenees,2011,0.9,588,806
Pyrenees,2012,3,2274,743
Pyrenees,2013,0.5,226,647
Pyrenees,2014,0.3,123,559
Pyrenees,2015,4.5,2267,493
Pyrenees,2016,2.4,1401,586
Pyrenees,2017,2.4,1673,680
Pyrenees,2018,1,825,774
Pyrenees,2019,1.4,1272,877
Pyrenees,2020,1.1,969,877
Pyrenees,2021,2.4,2059,877
Pyrenees,2022,1.2,1112,877
Pyrenees,2023,0.7,622,877
Qld - other,2001,1.7,695,394
Qld - other,2002,2.7,1055,406
Qld - other,2003,1.7,654,377
Qld - other,2004,3.1,1219,386
Qld - other,2005,4.2,2058,480
Qld - other,2006,1.4,770,521
Qld - other,2007,0.6,413,668
Qld - other,2008,0.7,464,666
Qld - other,2009,0.9,328,363
Qld - other,2010,1.1,204,187
Qld - other,2011,1.1,176,159
Qld - other,2012,1.2,168,138
Qld - other,2013,1.4,141,104
Qld - other,2014,1.4,128,91
Qld - other,2015,1.4,118,82
Qld - other,2016,0.8,65,82
Qld - other,2017,1,76,82
Qld - other,2018,0.5,36,82
Qld - other,2019,2,148,82
Qld - other,2020,1,66,82
Qld - other,2021,1.1,85,82
Qld - other,2022,1,80,82
Qld - other,2023,0.2,13,82
Riverina,2001,12.3,153260,12397
Riverina,2002,15.8,203479,12869
Riverina,2003,13.7,178055,13003
Riverina,2004,16.4,225806,13717
Riverina,2005,16.1,219517,13627
Riverina,2006,16.4,243029,14785
Riverina,2007,11.8,207355,17557
Riverina,2008,14.9,272070,18162
Riverina,2009,14,264890,19105
Riverina,2010,12.1,245746,20154
Riverina,2011,13.2,263362,20123
Riverina,2012,11.8,239973,20196
Riverina,2013,13.7,267442,19358
Riverina,2014,12.8,245061,18812
Riverina,2015,15.4,293629,18610
Riverina,2016,15,275131,18140
Riverina,2017,17.5,311270,17670
Riverina,2018,16.4,283700,17200
Riverina,2019,17,290581,17108
Riverina,2020,15.5,268546,17108
Riverina,2021,18.1,315751,17108
Riverina,2022,16.9,292643,17108
Riverina,2023,11.2,200117,17108
Riverland,2001,22.9,327102,14116
Riverland,2002,26.9,433892,16102
Riverland,2003,21.2,369173,17110
Riverland,2004,24.2,440123,18065
Riverland,2005,25.4,482216,18888
Riverland,2006,23.6,464367,19827
Riverland,2007,16,323171,20360
Riverland,2008,19,401301,21273
Riverland,2009,18.8,397853,21174
Riverland,2010,16.3,333602,20459
Riverland,2011,18.8,382225,20377
Riverland,2012,20.3,411531,20353
Riverland,2013,19.4,396199,20426
Riverland,2014,21.7,436374,20203
Riverland,2015,22.6,454205,20170
Riverland,2016,22.7,456989,20217
Riverland,2017,23.6,470125,19963
Riverland,2018,22.3,447410,19966
Riverland,2019,24.1,474089,19591
Riverland,2020,23.5,461385,19722
Riverland,2021,28.4,558252,19815
Riverland,2022,26.3,506768,19850
Riverland,2023,21,410888,20054
Rutherglen,2001,6.1,4910,793
Rutherglen,2002,6.4,6381,993
Rutherglen,2003,5.3,4903,919
Rutherglen,2004,7.4,6641,897
Rutherglen,2005,8,7493,928
Rutherglen,2006,7.4,7419,998
Rutherglen,2007,4.6,4556,983
Rutherglen,2008,6.3,6539,1024
Rutherglen,2009,11.2,7243,933
Rutherglen,2010,6.3,5411,853
Rutherglen,2011,1,561,832
Rutherglen,2012,3.2,2645,827
Rutherglen,2013,3.1,1492,643
Rutherglen,2014,1.1,385,504
Rutherglen,2015,5.4,2341,399
Rutherglen,2016,4.1,1683,491
Rutherglen,2017,3.5,2068,582
Rutherglen,2018,2.4,1690,674
Rutherglen,2019,1.9,1478,790
Rutherglen,2020,2.9,2238,790
Rutherglen,2021,3.8,2996,790
Rutherglen,2022,5.3,3861,790
Rutherglen,2023,3.4,2645,790
Kangaroo Island,2001,1.9,9039,4658
Kangaroo Island,2002,8.2,4778,567
Kangaroo Island,2003,0,0,0
Kangaroo Island,2004,0,0,0
Kangaroo Island,2005,0,0,0
Kangaroo Island,2006,0,0,0
Kangaroo Island,2007,0,0,0
Kangaroo Island,2008,4.1,3951,1020
Kangaroo Island,2009,3.2,3129,999
Kangaroo Island,2010,4.6,4165,974
Kangaroo Island,2011,5.1,4688,1010
Kangaroo Island,2012,4.2,4408,1005
Kangaroo Island,2013,3.3,2943,1020
Kangaroo Island,2014,3,3204,1016
Kangaroo Island,2015,3.8,4027,1002
Kangaroo Island,2016,4.8,4709,994
Kangaroo Island,2017,6.6,6975,990
Kangaroo Island,2018,6.6,7668,997
Kangaroo Island,2019,10.4,10814,991
Kangaroo Island,2020,6.4,5414,986
Kangaroo Island,2021,6.4,6128,954
Kangaroo Island,2022,2.4,1949,956
Kangaroo Island,2023,6.7,5380,942
South Burnett,2001,6.1,674,112
South Burnett,2002,14.1,1206,103
South Burnett,2003,12.4,1586,133
South Burnett,2004,10.7,1435,134
South Burnett,2005,23.3,2032,88
South Burnett,2006,18.6,1642,88
South Burnett,2007,3.5,318,91
South Burnett,2008,5,699,147
South Burnett,2009,5.3,572,112
South Burnett,2010,1.8,446,239
South Burnett,2011,1.4,336,226
South Burnett,2012,1,226,216
South Burnett,2013,1.2,254,209
South Burnett,2014,1.3,284,204
South Burnett,2015,1.5,346,215
South Burnett,2016,0.3,69,220
South Burnett,2017,0,9,226
South Burnett,2018,0.7,172,231
South Burnett,2019,0.4,106,236
South Burnett,2020,0.1,39,236
South Burnett,2021,0.1,44,236
South Burnett,2022,0,8,236
South Burnett,2023,0.1,38,236
Shoalhaven Coast,2001,3.4,387,111
Shoalhaven Coast,2002,4.2,319,74
Shoalhaven Coast,2003,4.5,341,75
Shoalhaven Coast,2004,4.6,391,87
Shoalhaven Coast,2005,4.9,330,66
Shoalhaven Coast,2006,3.3,192,58
Shoalhaven Coast,2007,4.1,287,70
Shoalhaven Coast,2008,3.9,225,57
Shoalhaven Coast,2009,0,0,89
Shoalhaven Coast,2010,2.8,426,152
Shoalhaven Coast,2011,0,0,154
Shoalhaven Coast,2012,4.5,769,175
Shoalhaven Coast,2013,0,0,129
Shoalhaven Coast,2014,0,0,106
Shoalhaven Coast,2015,2.7,302,104
Shoalhaven Coast,2016,0.2,12,104
Shoalhaven Coast,2017,0,0,104
Shoalhaven Coast,2018,0.7,54,104
Shoalhaven Coast,2019,0.1,10,104
Shoalhaven Coast,2020,0.1,5,104
Shoalhaven Coast,2021,0.1,10,104
Shoalhaven Coast,2022,0,4,104
Shoalhaven Coast,2023,0.2,12,104
Southern Highlands,2001,0,0,0
Southern Highlands,2002,2.9,132,45
Southern Highlands,2003,2.3,221,95
Southern Highlands,2004,2.6,311,117
Southern Highlands,2005,3.5,562,158
Southern Highlands,2006,2.9,520,176
Southern Highlands,2007,4.7,819,172
Southern Highlands,2008,7.2,1242,171
Southern Highlands,2009,235.7,6659,183
Southern Highlands,2010,4.5,916,202
Southern Highlands,2011,0,0,193
Southern Highlands,2012,5.1,967,188
Southern Highlands,2013,0,0,161
Southern Highlands,2014,0,0,140
Southern Highlands,2015,3.3,415,124
Southern Highlands,2016,0.5,73,155
Southern Highlands,2017,0.3,43,185
Southern Highlands,2018,0,0,216
Southern Highlands,2019,0,4,247
Southern Highlands,2020,0,0,247
Southern Highlands,2021,0,0,247
Southern Highlands,2022,0,1,247
Southern Highlands,2023,0.1,37,247
Strathbogie Ranges,2001,0,0,0
Strathbogie Ranges,2002,7.1,2113,295
Strathbogie Ranges,2003,5.3,2471,465
Strathbogie Ranges,2004,9,4699,520
Strathbogie Ranges,2005,6.3,3150,496
Strathbogie Ranges,2006,6.2,3240,520
Strathbogie Ranges,2007,5.1,2922,570
Strathbogie Ranges,2008,9.7,5166,531
Strathbogie Ranges,2009,7.6,1187,444
Strathbogie Ranges,2010,5.9,2214,369
Strathbogie Ranges,2011,16.5,4377,382
Strathbogie Ranges,2012,4,1618,408
Strathbogie Ranges,2013,3.1,461,471
Strathbogie Ranges,2014,8.2,2870,536
Strathbogie Ranges,2015,6.1,3900,626
Strathbogie Ranges,2016,3.2,1862,604
Strathbogie Ranges,2017,4.4,2447,581
Strathbogie Ranges,2018,3.5,1895,558
Strathbogie Ranges,2019,3.4,1773,536
Strathbogie Ranges,2020,2.5,1305,536
Strathbogie Ranges,2021,5.2,2677,536
Strathbogie Ranges,2022,3.4,1794,536
Strathbogie Ranges,2023,2.5,1313,536
Sunbury,2001,4.4,343,78
Sunbury,2002,6.2,943,152
Sunbury,2003,2.7,484,174
Sunbury,2004,4.3,522,120
Sunbury,2005,3.9,606,151
Sunbury,2006,3.6,612,166
Sunbury,2007,2.1,401,187
Sunbury,2008,5.4,1191,219
Sunbury,2009,1.8,261,173
Sunbury,2010,2.8,361,129
Sunbury,2011,1.6,112,132
Sunbury,2012,2.7,379,137
Sunbury,2013,0,0,109
Sunbury,2014,0,0,87
Sunbury,2015,3.5,239,66
Sunbury,2016,2.1,169,83
Sunbury,2017,0.1,13,100
Sunbury,2018,0.1,15,117
Sunbury,2019,1.3,137,133
Sunbury,2020,0.4,46,133
Sunbury,2021,0.3,38,133
Sunbury,2022,0.9,96,133
Sunbury,2023,0.1,16,133
Swan District,2001,6.1,4965,812
Swan District,2002,5.4,4134,801
Swan District,2003,4.7,3919,831
Swan District,2004,7.4,8839,1189
Swan District,2005,7,9130,1300
Swan District,2006,6.6,7116,1105
Swan District,2007,5.1,5528,1074
Swan District,2008,5.6,6324,1112
Swan District,2009,17,11482,945
Swan District,2010,6.2,4880,783
Swan District,2011,4.6,2175,726
Swan District,2012,6.7,4543,676
Swan District,2013,9.6,4198,676
Swan District,2014,6.9,3293,688
Swan District,2015,9.9,7176,722
Swan District,2016,4.2,3039,763
Swan District,2017,3.2,2525,805
Swan District,2018,3.4,2753,846
Swan District,2019,3.5,3008,893
Swan District,2020,2.8,2527,893
Swan District,2021,2.6,2415,893
Swan District,2022,2.4,2151,893
Swan District,2023,2.4,2258,893
Tasmania,2001,7.3,4973,679
Tasmania,2002,3.4,3146,909
Tasmania,2003,6.5,6390,977
Tasmania,2004,7.4,7861,1048
Tasmania,2005,6.2,6136,981
Tasmania,2006,5.5,5570,998
Tasmania,2007,4.2,5058,1196
Tasmania,2008,8.7,10749,1223
Tasmania,2009,5.1,5943,1227
Tasmania,2010,5.9,7388,1251
Tasmania,2011,6,7944,1389
Tasmania,2012,4.3,5379,1228
Tasmania,2013,8.4,11533,1453
Tasmania,2014,4,5780,1513
Tasmania,2015,5.6,8346,1456
Tasmania,2016,5.7,9018,1596
Tasmania,2017,5.6,9767,1782
Tasmania,2018,6.9,12549,1842
Tasmania,2019,6.2,11876,1931
Tasmania,2020,4.6,9165,1996
Tasmania,2021,5.3,10800,2069
Tasmania,2022,5.4,10962,2069
Tasmania,2023,5.2,10688,2069
Tumbarumba,2001,8.1,2275,278
Tumbarumba,2002,9.6,2498,260
Tumbarumba,2003,7.2,1961,270
Tumbarumba,2004,10.2,2890,282
Tumbarumba,2005,5.3,1450,269
Tumbarumba,2006,8.8,2347,265
Tumbarumba,2007,4.4,1121,251
Tumbarumba,2008,13,2306,177
Tumbarumba,2009,5.7,1208,209
Tumbarumba,2010,8.5,2167,254
Tumbarumba,2011,3.4,676,245
Tumbarumba,2012,4.8,1182,242
Tumbarumba,2013,4.1,904,225
Tumbarumba,2014,3.3,714,214
Tumbarumba,2015,7.5,1571,210
Tumbarumba,2016,6.3,1220,212
Tumbarumba,2017,5.9,1200,214
Tumbarumba,2018,3.6,753,216
Tumbarumba,2019,2.2,470,219
Tumbarumba,2020,0,0,219
